mapped_rxn,template
[CH2:6]([CH:7]([CH3:8])[CH3:9])[n:10]1[c:11]2[n:12][c:13](-[c:32]3[cH:33][n:34][c:35]([NH2:38])[n:36][cH:37]3)[n:14][c:15]([N:25]3[CH:26]([CH3:31])[CH2:27][O:28][CH2:29][CH2:30]3)[c:16]2[n:17][c:18]1[N:19]1[CH2:20][CH2:21][NH:22][CH2:23][CH2:24]1.c1ccc2c(c1)nnn2[CH:40]=[O:41]>>[CH3:8][CH:7]([CH3:9])[CH2:6][n:10]1[c:18]([n:17][c:16]2[c:15]([n:14][c:13]([n:12][c:11]12)-[c:32]1[cH:33][n:34][c:35]([NH2:38])[n:36][cH:37]1)[N:25]1[CH2:30][CH2:29][O:28][CH2:27][CH:26]1[CH3:31])[N:19]1[CH2:20][CH2:21][N:22]([CH2:23][CH2:24]1)[CH:40]=[O:41],[N:1].[C:2]-n1:n:n:c2:c:c:c:c:c:2:1>>[C:2]-[N:1]
CO[C:34]([c:31]1[cH:30][n:29][c:28]([N:25]2[CH2:24][CH2:23][CH2:22][N:21]([CH2:20][CH3:19])[CH2:27][CH2:26]2)[n:33][cH:32]1)=[O:35].[CH3:1][O:2][c:3]1[cH:4][c:5]([CH2:6][CH2:7][c:8]2[cH:9][c:10]([NH2:11])[nH:12][n:13]2)[cH:14][c:15]([O:16][CH3:17])[cH:18]1>>[CH3:19][CH2:20][N:21]1[CH2:22][CH2:23][CH2:24][N:25]([CH2:26][CH2:27]1)[c:28]1[n:33][cH:32][c:31]([cH:30][n:29]1)[C:34](=[O:35])[NH:11][c:10]1[cH:9][c:8]([CH2:7][CH2:6][c:5]2[cH:4][c:3]([O:2][CH3:1])[cH:18][c:15]([O:16][CH3:17])[cH:14]2)[n:13][nH:12]1,[N:1].C-O-[C:2]=O>>[C:2]-[N:1]
Cl[CH2:8][c:7]1[nH:6][c:4](=[O:5])[cH:3][c:2]([CH3:1])[n:10]1.[CH3:11][O:12][c:13]1[cH:14][c:15]([O:16][CH3:17])[c:18]([CH2:19][CH2:20][C:21]2([CH:29]3[CH2:30][CH2:31][CH2:32][CH2:33]3)[CH2:22][C:23](=[O:24])[CH2:25][C:26](=[O:27])[O:28]2)[cH:34][c:35]1[Cl:36]>>[CH3:11][O:12][c:13]1[cH:14][c:15]([O:16][CH3:17])[c:18]([CH2:19][CH2:20][C:21]2([CH2:22][C:23]([OH:24])=[C:25]([CH2:8][c:7]3[n:10][c:2]([CH3:1])[cH:3][c:4](=[O:5])[nH:6]3)[C:26](=[O:27])[O:28]2)[CH:29]2[CH2:33][CH2:32][CH2:31][CH2:30]2)[cH:34][c:35]1[Cl:36],Cl-[C:1].O=C-[C:2]-[C:3]=[O:4]>>[C:1]-[C:2]=[C:3]-[O:4]
CO[C:1]([CH2:2][C:3](=[O:4])[CH3:5])=[O:6].[C:16]1([CH2:22][CH2:23][C:24](=[O:25])[CH:26]2[CH2:27][CH2:28][CH2:29][CH2:30]2)=[CH:17][CH2:18][CH2:19][CH2:20][CH2:21]1>>[O:4]=[C:3]1[CH2:2][C:1](=[O:6])[O:25][C:24]([CH2:23][CH2:22][C:16]2=[CH:17][CH2:18][CH2:19][CH2:20][CH2:21]2)([CH2:5]1)[CH:26]1[CH2:27][CH2:28][CH2:29][CH2:30]1,O=C-[C:1].C-O-[C:2]=O.[C:3]=[O:4]>>[C:1]-[C:3]-[O:4]-[C:2]
[CH3:1][O:2][CH2:3][CH2:4][O:5][c:6]1[cH:7][c:8]2[n:9][cH:10][n:11][c:12]([O:13][c:14]3[cH:15][cH:16][cH:17][c:18]([NH2:19])[cH:20]3)[c:21]2[cH:22][c:23]1[O:24][CH3:25].c1ccc(O[C:33]([NH:32][c:31]2[cH:30][c:29]([CH:27]([CH3:26])[CH3:28])[o:43][n:42]2)=[O:34])cc1>>[CH3:1][O:2][CH2:3][CH2:4][O:5][c:6]1[cH:7][c:8]2[n:9][cH:10][n:11][c:12]([O:13][c:14]3[cH:15][cH:16][cH:17][c:18]([NH:19][C:33](=[O:34])[NH:32][c:31]4[cH:30][c:29]([o:43][n:42]4)[CH:27]([CH3:28])[CH3:26])[cH:20]3)[c:21]2[cH:22][c:23]1[O:24][CH3:25],[N:1].O=[C:2]-O-c1:c:c:c:c:c:1>>[C:2]-[N:1]
O[C:34]([c:31]1[cH:30][cH:29][c:28](-[c:25]2[cH:24][cH:23][c:22]([CH:19]3[CH2:18][CH2:17][CH:16]([CH2:15][CH2:14][CH2:13][CH2:12][CH3:11])[CH2:21][CH2:20]3)[cH:27][cH:26]2)[cH:33][cH:32]1)=[O:36].[OH:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[O:7])[c:8]([Cl:9])[cH:10]1>>[CH3:11][CH2:12][CH2:13][CH2:14][CH2:15][CH:16]1[CH2:17][CH2:18][CH:19]([CH2:20][CH2:21]1)[c:22]1[cH:23][cH:24][c:25]([cH:26][cH:27]1)-[c:28]1[cH:29][cH:30][c:31]([cH:32][cH:33]1)[C:34](=[O:36])[O:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[O:7])[c:8]([Cl:9])[cH:10]1,[O:1]-c.O-[C:2]=O>>[C:2]-[O:1]
CO[CH:20]=[CH:21][c:22]1[cH:23][cH:24][c:25]([O:26][CH:27]2[CH2:28][CH:29]([C:46]([OH:47])=[O:48])[N:30]([C:32](=[O:33])[CH:34]([CH3:35])[CH2:36][S:37][C:38](=[O:39])[c:40]3[cH:41][cH:42][cH:43][cH:44][cH:45]3)[CH2:31]2)[cH:49][cH:50]1.[CH3:1][NH:2][S:3](=[O:4])(=[O:5])[c:6]1[cH:7][c:8]([S:14]([NH2:15])(=[O:16])=[O:17])[c:9]([Cl:10])[cH:11][c:12]1[NH2:13]>>[CH3:35][CH:34]([CH2:36][S:37][C:38](=[O:39])[c:40]1[cH:45][cH:44][cH:43][cH:42][cH:41]1)[C:32](=[O:33])[N:30]1[CH2:31][CH:27]([CH2:28][CH:29]1[C:46]([OH:47])=[O:48])[O:26][c:25]1[cH:49][cH:50][c:22]([CH2:21][CH:20]2[NH:13][c:12]3[cH:11][c:9]([Cl:10])[c:8]([cH:7][c:6]3[S:3](=[O:5])(=[O:4])[N:2]2[CH3:1])[S:14]([NH2:15])(=[O:17])=[O:16])[cH:23][cH:24]1,[N:1].[N:2].C-O-[C:3]=[C:4]>>[C:4]-[C:3](-[N:2])-[N:1]
I[CH3:16].[CH3:4][C:5]([CH3:6])([CH3:7])[O:8][C:9](=[O:10])[NH:11][CH2:12][CH2:13][CH2:14][NH2:15].[S:1]=[C:2]=[S:3]>>[CH3:16][S:3][C:2](=[S:1])[NH:15][CH2:14][CH2:13][CH2:12][NH:11][C:9](=[O:10])[O:8][C:5]([CH3:7])([CH3:6])[CH3:4],[N:1].I-[C:2].[C:3]=[S:4]>>[C:2]-[S:4]-[C:3]-[N:1]
[CH3:18][CH:19]([CH3:20])[c:21]1[cH:22][c:23](-[c:24]2[cH:25][cH:26][cH:27][c:28]([CH:29]=[CH2:30])[cH:31]2)[c:32]2[n:33][cH:34][cH:35][cH:36][c:37]2[cH:38]1.[N-]=[N+]=[C:8]([c:5]1[cH:4][cH:3][c:2]([Cl:1])[cH:7][cH:6]1)[c:11]1[cH:12][cH:13][c:14]([Cl:15])[cH:16][cH:17]1>>[CH3:20][CH:19]([CH3:18])[c:21]1[cH:22][c:23](-[c:24]2[cH:25][cH:26][cH:27][c:28]([cH:31]2)[CH:29]2[CH2:30][C:8]2([c:11]2[cH:12][cH:13][c:14]([Cl:15])[cH:16][cH:17]2)[c:5]2[cH:4][cH:3][c:2]([Cl:1])[cH:7][cH:6]2)[c:32]2[n:33][cH:34][cH:35][cH:36][c:37]2[cH:38]1,[C:1]=[C:2].[C:3]=[N+]=[N-]>>[C:1]1-[C:2]-[C:3]-1
O[C:23]([CH:6]([CH3:5])[O:7][c:8]1[cH:9][cH:10][c:11]([O:12][c:13]2[cH:14][cH:15][c:16]([Cl:17])[cH:18][c:19]2[Cl:20])[cH:21][cH:22]1)=[O:25].[CH3:1][CH:2]([CH3:3])[OH:4]>>[CH3:3][CH:2]([CH3:1])[O:4][C:23](=[O:25])[CH:6]([CH3:5])[O:7][c:8]1[cH:9][cH:10][c:11]([O:12][c:13]2[cH:14][cH:15][c:16]([Cl:17])[cH:18][c:19]2[Cl:20])[cH:21][cH:22]1,[O:1].O-[C:2]=O>>[C:2]-[O:1]
CO[C:3]([c:4]1[c:5]([CH:10]=[C:11]([CH2:12][CH3:13])[N+:14](=[O:15])[O-:16])[cH:6][cH:7][cH:8][cH:9]1)=[O:17].[CH2:23]([CH3:24])[O:25][CH:26]([CH2:27][NH2:28])[O:29][CH2:30][CH3:31]>>[CH3:24][CH2:23][O:25][CH:26]([CH2:27][N:28]1[CH:10]([CH:11]([CH2:12][CH3:13])[N+:14]([O-:16])=[O:15])[c:5]2[cH:6][cH:7][cH:8][cH:9][c:4]2[C:3]1=[O:17])[O:29][CH2:30][CH3:31],[N:1].C-O-[C:2]=O.[C:3]=[C:4]>>[C:2]-[N:1]-[C:3]-[C:4]
CC(C)(C)O[C:25](=[O:26])[CH2:27][C:28](=[O:29])[c:30]1[cH:31][cH:32][cH:33][c:34](-[c:36]2[cH:37][cH:38][c:39]([CH:42]3[CH2:43][CH2:44]3)[n:40][cH:41]2)[cH:35]1.[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][c:9]1[cH:10][cH:11][c:12]([C:16]([F:17])([F:18])[F:19])[cH:13][c:14]1[NH2:15]>>[CH3:4][C:2]([CH3:3])([CH3:1])[O:5][C:6](=[O:7])[NH:8][c:9]1[cH:10][cH:11][c:12]([cH:13][c:14]1[NH:15][C:25](=[O:26])[CH2:27][C:28](=[O:29])[c:30]1[cH:31][cH:32][cH:33][c:34]([cH:35]1)-[c:36]1[cH:37][cH:38][c:39]([n:40][cH:41]1)[CH:42]1[CH2:43][CH2:44]1)[C:16]([F:17])([F:18])[F:19],[N:1].C-C(-C)(-C)-O-[C:2]=O>>[C:2]-[N:1]
I[CH3:1].[CH3:3][O:4][c:5]1[cH:6][cH:7][c:8](-[c:12]2[n:13][s:14][c:15]3[cH:16][cH:17][c:18](-[n:21]4[c:22](=[O:23])[cH:24][c:25]([C:29]([F:30])([F:31])[F:32])[nH:26][c:27]4=[O:28])[cH:19][c:20]23)[cH:9][c:10]1[CH3:11]>>[CH3:3][O:4][c:5]1[cH:6][cH:7][c:8]([cH:9][c:10]1[CH3:11])-[c:12]1[n:13][s:14][c:15]2[cH:16][cH:17][c:18]([cH:19][c:20]12)-[n:21]1[c:22](=[O:23])[cH:24][c:25]([n:26]([CH3:1])[c:27]1=[O:28])[C:29]([F:30])([F:31])[F:32],[n:1].I-[C:2]>>[C:2]-[n:1]
CO[C:13](=[O:14])[C:15]1=[C:16]([OH:17])[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2[S:24](=[O:25])(=[O:26])[N:27]1[CH3:28].[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([NH2:7])[c:8](=[O:9])[cH:10]1>>[CH3:28][N:27]1[C:15]([C:13](=[O:14])[NH:7][c:6]2[cH:5][cH:4][cH:3][c:2]([CH3:1])[cH:10][c:8]2=[O:9])=[C:16]([OH:17])[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2[S:24]1(=[O:26])=[O:25],[N:1].C-O-[C:2]=O>>[C:2]-[N:1]
O=S(Cl)[Cl:3].O[C:6](=[O:7])[CH:8]1[CH2:9][CH2:10][N:11]([c:14]2[cH:15][cH:16][c:17]([F:18])[cH:19][cH:20]2)[CH2:12][CH2:13]1>>[F:18][c:17]1[cH:19][cH:20][c:14]([cH:15][cH:16]1)[N:11]1[CH2:12][CH2:13][CH:8]([CH2:9][CH2:10]1)[C:6]([Cl:3])=[O:7],O-[C:1]=O.Cl-S(=O)-[Cl:2]>>[C:1]-[Cl:2]
CCO[C:12](=[O:13])[CH:14]1[CH2:15][CH2:16][CH:17]([C:20](=[O:21])[O:22][CH2:23][CH3:24])[N:18]1[CH3:19].[NH2:1][CH2:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1>>[CH3:24][CH2:23][O:22][C:20](=[O:21])[CH:17]1[CH2:16][CH2:15][CH:14]([N:18]1[CH3:19])[C:12](=[O:13])[NH:1][CH2:2][c:3]1[cH:8][cH:7][cH:6][cH:5][cH:4]1,[N:1].C-C-O-[C:2]=O>>[C:2]-[N:1]
Br[CH2:16][C:17]#[CH:18].[OH:1][c:2]1[cH:3][cH:4][c:5](-[c:8]2[cH:9][cH:10][c:11]([Cl:12])[cH:13][cH:14]2)[cH:6][n:7]1>>[Cl:12][c:11]1[cH:13][cH:14][c:8]([cH:9][cH:10]1)-[c:5]1[cH:4][cH:3][c:2]([O:1][CH2:16][C:17]#[CH:18])[n:7][cH:6]1,[O:1]-c.Br-[C:2]>>[C:2]-[O:1]
I[CH3:16].[CH3:1][C:2](=[O:3])[N:4]1[CH2:5][C:6]([CH3:7])([CH3:8])[c:9]2[cH:10][c:11]([OH:12])[cH:13][cH:14][c:15]21>>[CH3:16][O:12][c:11]1[cH:13][cH:14][c:15]2[N:4]([CH2:5][C:6]([CH3:8])([CH3:7])[c:9]2[cH:10]1)[C:2]([CH3:1])=[O:3],[O:1]-c.I-[C:2]>>[C:2]-[O:1]
CCO[C:7]([CH2:6][CH:5]([CH2:4][N+:1](=O)[O-])[c:12]1[o:13][c:14]2[c:15]([cH:16]1)[cH:17][cH:18][cH:19][cH:20]2)=[O:8]>>[O:8]=[C:7]1[CH2:6][CH:5]([CH2:4][NH:1]1)[c:12]1[cH:16][c:15]2[cH:17][cH:18][cH:19][cH:20][c:14]2[o:13]1,O=[N:1]-[O-].C-C-O-[C:2]=O>>[C:2]-[N:1]
I[CH3:1].[NH2:3][c:4]1[n:5][c:6](-[c:7]2[cH:8][cH:9][cH:10][c:11]([F:12])[cH:13]2)[c:14](-[c:15]2[cH:16][cH:17][c:18](=[O:19])[nH:20][cH:21]2)[c:22](=[O:23])[n:24]1[CH2:25][CH:26]=[CH2:27]>>[CH3:1][n:20]1[cH:21][c:15]([cH:16][cH:17][c:18]1=[O:19])-[c:14]1[c:6]([n:5][c:4]([NH2:3])[n:24]([CH2:25][CH:26]=[CH2:27])[c:22]1=[O:23])-[c:7]1[cH:8][cH:9][cH:10][c:11]([F:12])[cH:13]1,[n:1].I-[C:2]>>[C:2]-[n:1]
O[C:22]([c:21]1[c:11]([C:9]([NH:8][C:6]([CH:4]([CH3:3])[CH3:5])([CH3:7])[C:25]([NH2:26])=[O:27])=[O:10])[n:12][c:13]([CH3:14])[c:15]([O:16][C:17]([CH3:18])=[O:19])[cH:20]1)=[O:24].[CH3:1][OH:2]>>[CH3:1][O:2][C:22](=[O:24])[c:21]1[cH:20][c:15]([O:16][C:17]([CH3:18])=[O:19])[c:13]([CH3:14])[n:12][c:11]1[C:9](=[O:10])[NH:8][C:6]([CH3:7])([CH:4]([CH3:3])[CH3:5])[C:25]([NH2:26])=[O:27],[O:1].O-[C:2]=O>>[C:2]-[O:1]
O[CH:15]1[CH2:14][CH2:13][N:12]([C:10]([O:9][C:6]([CH3:5])([CH3:7])[CH3:8])=[O:11])[CH2:17]1.[CH3:1][C:2]([OH:3])=[S:4]>>[CH3:1][C:2](=[O:3])[S:4][CH:15]1[CH2:14][CH2:13][N:12]([CH2:17]1)[C:10](=[O:11])[O:9][C:6]([CH3:8])([CH3:7])[CH3:5],O-[C:1].[O:2]-[C:3]=[S:4]>>[C:1]-[S:4]-[C:3]=[O:2]
CCO[C:31](=[O:32])[C:33]([OH:34])([c:35]1[cH:36][cH:37][cH:38][s:39]1)[c:40]1[cH:41][cH:42][cH:43][s:44]1.[CH3:1][N:2]([CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][O:12][Si:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:18])[CH3:19])[CH:20]1[CH:21]2[CH2:22][CH2:23][CH:24]1[CH:25]([OH:26])[CH2:27]2>>[CH3:1][N:2]([CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][O:12][Si:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:19])[CH3:18])[CH:20]1[CH:21]2[CH2:22][CH2:23][CH:24]1[CH:25]([CH2:27]2)[O:26][C:31](=[O:32])[C:33]([OH:34])([c:40]1[cH:41][cH:42][cH:43][s:44]1)[c:35]1[cH:36][cH:37][cH:38][s:39]1,[O:1].C-C-O-[C:2]=O>>[C:2]-[O:1]
Br[CH2:6][c:5]1[c:4]([C:13]([F:14])([F:15])[F:16])[n:3][n:2]([CH3:1])[c:8]1[O:9][CH:10]([F:11])[F:12].[NH2:17][C:18]([NH2:19])=[S:20]>>[CH3:1][n:2]1[n:3][c:4]([c:5]([CH2:6][S:20][C:18]([NH2:17])=[NH:19])[c:8]1[O:9][CH:10]([F:11])[F:12])[C:13]([F:14])([F:15])[F:16],Br-[C:1].[N:2]-[C:3]=[S:4]>>[C:1]-[S:4]-[C:3]=[N:2]
O=[N:10][O-].[CH3:12][O:13][CH2:14][C:15](=[O:16])[CH2:17][C:18](=[O:19])[O:20][CH3:21].[NH2:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[F:8]>>[CH3:12][O:13][CH2:14][C:15](=[O:16])[C:17](=[N:10][NH:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[F:8])[C:18](=[O:19])[O:20][CH3:21],[N:1].O=[N:2]-[O-].O=C-[C:3]-C=O>>[N:1]-[N:2]=[C:3]
I[CH3:20].[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[N:9]1[S:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[CH2:17][C:18]1=[O:19]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[N:9]1[S:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[CH:17]([CH3:20])[C:18]1=[O:19],I-[C:1].O=C-[C:2]>>[C:1]-[C:2]
F[c:7]1[cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[cH:12][c:10]([Cl:11])[cH:9]1.[C-:13]#[N:14]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:12][c:10]([Cl:11])[cH:9][c:7]([cH:6]1)[C:13]#[N:14],F-[c:1].N#[C:2]>>[C:2]-[c:1]
O=C(OCc1ccccc1)[NH:12][CH:11]1[N:10]=[C:9]([c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)[c:8]2[c:3]([cH:4][cH:5][cH:6][cH:7]2)[N:2]([CH3:1])[C:23]1=[S:24].O[C:13](=[O:14])[CH2:15][CH2:16][CH:17]1[CH2:18][CH2:19][CH2:20][CH2:21][CH2:22]1>>[CH3:1][N:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[C:9]([c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)=[N:10][CH:11]([NH:12][C:13](=[O:14])[CH2:15][CH2:16][CH:17]2[CH2:18][CH2:19][CH2:20][CH2:21][CH2:22]2)[C:23]1=[S:24],O-[C:1]=O.O=C(-[N:2])-O-C-c1:c:c:c:c:c:1>>[C:1]-[N:2]
O=C(O)[c:9]1[n:8][cH:7][cH:6][c:5]([CH3:4])[c:13]1[O:14][c:15]1[cH:16][c:17]([Cl:18])[cH:19][c:20]([Br:21])[cH:22]1.[N-]=[N+]=[N-:3]>>[CH3:4][c:5]1[cH:6][cH:7][n:8][c:9]([NH2:3])[c:13]1[O:14][c:15]1[cH:16][c:17]([Cl:18])[cH:19][c:20]([Br:21])[cH:22]1,O-C(=O)-[c:1].[N-]=[N+]=[N:2]>>[N:2]-[c:1]
[Mg+][CH3:19].[O:1]=[C:2]1[CH2:3][N:4]([CH:6]([c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[CH2:5]1>>[CH3:19][C:2]1([OH:1])[CH2:3][N:4]([CH2:5]1)[CH:6]([c:13]1[cH:18][cH:17][cH:16][cH:15][cH:14]1)[c:7]1[cH:12][cH:11][cH:10][cH:9][cH:8]1,[C:1]-[Mg+].[C:2]=[O:3]>>[C:1]-[C:2]-[O:3]
CC1(C)O[C:24](=[O:25])[CH:22]([CH:17]([C:15]([N:12]2[CH2:11][CH2:10][N:9]([c:6]3[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:8][cH:7]3)[CH2:14][CH2:13]2)=[O:16])[CH2:18][CH:19]([CH3:20])[CH3:21])[O:23]1.[NH2:26][OH:27]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([N:9]2[CH2:10][CH2:11][N:12]([C:15](=[O:16])[CH:17]([CH2:18][CH:19]([CH3:20])[CH3:21])[CH:22]([OH:23])[C:24](=[O:25])[NH:26][OH:27])[CH2:13][CH2:14]2)[cH:7][cH:8]1,[N:1].C-C(-C)(-[O:2])-O-[C:3]=O>>[O:2].[C:3]-[N:1]
Br[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:8][n:7]1.CC(=O)O[C:11]([CH3:12])=[O:13].[CH:9](=[O:10])[c:14]1[cH:15][c:16]([O:17][CH2:18][c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[cH:25][cH:26][c:27]1[O:28][CH3:29]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:9]([O:10][C:11]([CH3:12])=[O:13])[c:14]2[cH:15][c:16]([O:17][CH2:18][c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[cH:25][cH:26][c:27]2[O:28][CH3:29])[n:7][cH:8]1,Br-[c:1].[C:2]=[O:3].C-C(=O)-O-[C:4]=O>>[C:4]-[O:3]-[C:2]-[c:1]
O[N:11]=[C:12]1[CH2:13][C:14]2([c:15]3[cH:16][cH:17][cH:18][cH:19][c:20]31)[CH2:21][CH2:22][N:23]([C:26](=[O:27])[O:28][CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[CH2:24][CH2:25]2.[OH2:36]>>[O:27]=[C:26]([O:28][CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[N:23]1[CH2:22][CH2:21][C:14]2([CH2:25][CH2:24]1)[CH2:13][C:12](=[O:36])[NH:11][c:20]1[cH:19][cH:18][cH:17][cH:16][c:15]21,[O:1].O-[N:2]=[C:3]-[c:4]>>[c:4]-[N:2]-[C:3]=[O:1]
O=[C:14]([CH3:13])[CH2:16][CH2:17][C:18](O)=[O:20].[NH2:1][CH2:2][CH2:3][c:4]1[cH:5][nH:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]12>>[CH3:13][C:14]12[CH2:16][CH2:17][C:18](=[O:20])[N:1]1[CH2:2][CH2:3][c:4]1[c:5]2[nH:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]12,[c:1].[N:2].O=[C:3].O-[C:4]=O>>[C:4]-[N:2]-[C:3]-[c:1]
O=[CH:2][c:3]1[cH:4][cH:5][cH:6][c:7]([C:9]#[N:10])[cH:8]1.[O:11]=[C:12]1[O:13][CH2:14][c:15]2[cH:16][cH:17][cH:18][cH:19][c:20]21>>[O:13]=[C:14]1[CH:2]([C:12](=[O:11])[c:20]2[cH:19][cH:18][cH:17][cH:16][c:15]12)[c:3]1[cH:4][cH:5][cH:6][c:7]([cH:8]1)[C:9]#[N:10],O=[C:1].O=[C:2]-[O:3]-[C:4]>>[C:2]-[C:1]-[C:4]=[O:3]
O=[C:14]([C:10]([C:8]([O:7][CH2:6][CH3:5])=[O:9])=[N:11][O:12][CH3:13])[CH2:16]Cl.[OH:1][CH2:2][CH2:3][SH:4]>>[CH3:5][CH2:6][O:7][C:8](=[O:9])[C:10](=[N:11][O:12][CH3:13])[C:14]1=[CH:16][S:4][CH2:3][CH2:2][O:1]1,[O:1].[S:2].Cl-[C:3]-[C:4]=O>>[O:1]-[C:4]=[C:3]-[S:2]
CN(C)[CH:23]=[O:22].[C:10]([CH3:11])([CH3:12])([CH3:13])[O:14][C:15]([NH:16][CH2:17][CH:18]1[O:19][CH2:20]1)=[O:21].[F:1][c:2]1[cH:3][c:4]([NH2:5])[cH:6][cH:7][c:8]1[CH3:9]>>[CH3:9][c:8]1[cH:7][cH:6][c:4]([cH:3][c:2]1[F:1])[N:5]1[CH2:20][CH:18]([CH2:17][NH:16][C:15](=[O:21])[O:14][C:10]([CH3:11])([CH3:12])[CH3:13])[O:19][C:23]1=[O:22],[N:1].C-N(-C)-[C:2].[C:3]-[O:4]>>[C:3]-[N:1]-[C:2]-[O:4]
[NH3:1].[O-][C:3](=[O:4])[c:5]1[cH:6][c:7]([Br:8])[cH:9][n:10][c:11]1[Cl:12]>>[NH2:1][C:3](=[O:4])[c:5]1[cH:6][c:7]([Br:8])[cH:9][n:10][c:11]1[Cl:12],[N:1].O=[C:2]-[O-]>>[C:2]-[N:1]
Br[c:7]1[cH:6][c:5]([O:4][CH3:3])[cH:13][c:10]([CH2:11][OH:12])[cH:9]1.[C-:1]#[N:2]>>[CH3:3][O:4][c:5]1[cH:13][c:10]([CH2:11][OH:12])[cH:9][c:7]([cH:6]1)[C:1]#[N:2],Br-[c:1].N#[C:2]>>[C:2]-[c:1]
O=[N+:21]([O-])[CH:11]1[CH2:10][N:8]([CH3:9])[CH2:7][CH:6]([CH3:5])[N:13]([CH2:14][c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[CH2:12]1.O[C:2]([CH3:1])=[O:4]>>[CH3:5][CH:6]1[CH2:7][N:8]([CH3:9])[CH2:10][CH:11]([CH2:12][N:13]1[CH2:14][c:15]1[cH:20][cH:19][cH:18][cH:17][cH:16]1)[NH:21][C:2]([CH3:1])=[O:4],O-[C:1]=O.O=[N:2]-[O-]>>[C:1]-[N:2]
CCCC[Sn](CCCC)(CCCC)[CH:29]=[CH2:30].Cl[c:2]1[n:3][cH:4][c:5]([S:8](=[O:9])(=[O:10])[c:11]2[c:12]([F:17])[cH:13][cH:14][cH:15][cH:16]2)[cH:6][cH:7]1>>[F:17][c:12]1[cH:13][cH:14][cH:15][cH:16][c:11]1[S:8](=[O:9])(=[O:10])[c:5]1[cH:6][cH:7][c:2]([CH:29]=[CH2:30])[n:3][cH:4]1,Cl-[c:1].C-C-C-C-[Sn](-C-C-C-C)(-C-C-C-C)-[C:2]=C>>[C:2]-[c:1]
I[CH2:2]I.[CH3:4][CH2:5][O:6][C:7](=[O:8])[C:9]([OH:10])([CH2:11][C:12](=[CH2:13])[c:14]1[cH:15][c:16]([F:17])[cH:18][cH:19][c:20]1[O:21][CH3:22])[C:23]([F:24])([F:25])[F:26]>>[CH3:4][CH2:5][O:6][C:7](=[O:8])[C:9]([OH:10])([CH2:11][C:12]1([CH2:13][CH2:2]1)[c:14]1[cH:15][c:16]([F:17])[cH:18][cH:19][c:20]1[O:21][CH3:22])[C:23]([F:24])([F:25])[F:26],I-[C:1]-I.[C:2]=[C:3]>>[C:1]1-[C:2]-[C:3]-1
